p_bar,of_1,of_1_5,of_2,of_2_1,of_2_2,of_2_3,of_2_4,of_2_5,of_2_6,of_2_7,of_2_8,of_2_9,of_3,of_3_1,of_3_2,of_3_3,of_3_4,of_3_5,of_3_6,of_3_7,of_3_8,of_3_9,of_4,of_4_1,of_4_2,of_4_3,of_4_4,of_4_5,of_5,of_5_5,of_6,of_6_5,of_7,of_7_5,of_8,of_8_5,of_9,of_9_5,of_10,of_10_5,of_11,of_11_5,of_12,of_12_5,of_13,of_13_5,of_14,of_14_5,of_15,of_15_5,of_16,of_16_5,of_17,of_17_5,of_18,of_18_5,of_19,of_19_5,of_20
25,448.062972485703,454.742964246254,405.156770123605,395.600733500957,386.844533899093,378.834558461539,371.520955430375,364.857632477696,358.799793930518,353.300819752526,348.310581349087,343.776328251421,339.645390456698,335.868081023873,332.399676310388,329.201222128875,326.23946852866,323.486323019814,320.918126618534,318.514925911991,316.259820663268,314.138412061105,312.138350161973,310.248970565152,308.460992401032,306.766297121184,305.157730426215,303.628952595077,297.003228831399,291.724908104144,287.458151254192,283.976731713423,281.120210634344,278.770222417623,276.836545248477,275.248423533892,273.948943254457,272.891294905985,272.036268513576,271.350570975352,270.805708547643,270.377234464031,270.044236014637,269.788933591242,269.596348578971,269.453992514243,269.351563491479,269.280649577878,269.234444664098,269.207489930027,269.195429735401,269.194815270896,269.202924889969,269.217619442654,269.237222773546,269.260424977824,269.286204860215,269.313768252574,269.342499217816
26,447.800180957277,454.681061547337,405.139864604005,395.575267794609,386.808895411725,378.787587337886,371.46194485925,364.786327957821,358.71640800266,353.206035656404,348.205490846864,343.662293975416,339.523877980387,335.740516109201,332.267354759681,329.065270016669,326.100837091606,323.345802340804,320.776366948141,318.372460262932,316.117085635795,313.995765775283,311.996087143183,310.107333912701,308.320183349403,306.626483040676,305.019050998423,303.491524812081,296.873261430382,291.603529478623,287.345852936394,283.873695893391,281.026442819454,278.685604812945,276.760856317533,275.181344025537,273.890059118087,272.840103013272,271.992188140409,271.31296171244,270.773893508551,270.350525992367,270.021960885799,269.770454528257,269.581080261215,269.441411422276,269.34121194221,269.272135056672,269.227435840993,269.201710640776,269.190652098379,269.190852685256,269.199625402519,269.214859792617,269.234903218253,269.258464906838,269.284539144421,269.312344245104,269.341274314017
27,447.542365109393,454.619434316089,405.123822463084,395.5510869341,386.775015036681,378.742859559761,371.40569075023,364.718261154569,358.63670395043,353.11532541527,348.104805040633,343.552932615011,339.407248563463,335.61799405943,332.140194023935,328.934562657726,325.96750699899,323.210617685165,320.639960410092,318.23535072656,315.979698295251,313.858449502256,311.85912893097,309.970970698998,308.184611310104,306.491865375313,304.885523938775,303.359202488028,296.748136182256,291.486703783897,287.237807752506,283.774609548679,280.936320213363,278.604329490646,276.688209718756,275.117011689528,273.833633989366,272.79109160711,271.950022417233,271.277016902756,270.743511205329,270.325039225645,270.000718521112,269.752841838504,269.56653402737,269.429429015798,269.331354812574,269.264027744933,269.220761880863,269.196206583742,269.186100778022,269.187076423358,269.196479608191,269.212227238269,269.23268908078,269.256592573844,269.282946729264,269.310981728025,269.340101218668
28,447.289314530139,454.558078396374,405.108569549685,395.52808261339,386.742747385936,378.70021741005,371.351973367388,364.653178255612,358.560397560997,353.028378873076,348.008192554293,343.447896062343,339.295141306813,335.500144473304,332.017816872462,328.808718127894,325.839093341105,323.080382516958,320.508519929115,318.10321056008,315.84727293345,313.726079136304,311.727093483123,309.839499005053,308.053899426792,306.362070267263,304.756778595119,303.231618347137,296.627504378913,291.374102323061,287.133707547754,283.679185211578,280.849576008838,278.526150218862,276.618379627196,275.055219053749,273.779482094254,272.744094361339,271.909623652728,271.242606802567,270.714448767221,270.30067694068,269.980425959769,269.736025340041,269.55265095678,269.417996146225,269.321951317465,269.256293930362,269.214394993186,269.190954886409,269.181756960531,269.183471005345,269.193474756813,269.209711259863,269.230571662076,269.254800765845,269.281421615398,269.309675694346,269.338975737529
29,447.040832600944,454.496989876401,405.094040398019,395.506159035529,386.711963628707,378.659486043557,371.300597365512,364.590853310304,358.487235514319,352.944919301772,347.915357477075,343.346873257396,339.187233552739,335.386636065807,331.899885805603,328.68739465105,325.715251603665,322.954750816864,320.381698963827,317.975693489043,315.71946417849,313.598310722145,311.599638678493,309.712583459838,307.927710205699,306.236762904044,304.632483024131,303.108443470104,296.511053747193,291.26543080061,287.0332764865,283.587165643948,280.765971572468,278.450846836792,276.551164233985,274.995786061976,273.727437582975,272.698962787304,271.870860334113,271.209615875878,270.686605758245,270.27735267105,269.961009532709,269.71994276108,269.53937880731,269.407069263218,269.312965336408,269.248902679417,269.208310584172,269.185935311798,269.177604002171,269.18002273751,269.190599569057,269.207302550263,269.228543264544,269.253083098773,269.279958491419,269.308421709735,269.337894154608
30,446.796735281359,454.436165056794,405.080176955723,395.485231101122,386.682549120105,378.620520573893,371.251388363269,364.53108434683,358.416991107677,352.864698801929,347.82603450685,343.249585133277,339.083235682332,335.277171357695,331.786097673414,328.570285160758,325.595672208944,322.833411608227,320.259186034314,317.852488246528,315.595961553778,313.474835040624,311.47645693478,309.589916168555,307.805740210168,306.115642256148,304.512338774423,302.989382124662,296.398503545189,291.160424673211,286.93626667472,283.498319733739,280.685292549192,278.378221708063,276.486382469476,274.938546230996,273.677351857723,272.655563996024,271.833614662707,271.177940891658,270.659892585769,270.25498946491,269.942403521335,269.704538577967,269.526671013023,269.396609553048,269.304364674955,269.24182957631,269.202486717319,269.181129842816,269.173627073733,269.176719405347,269.18784396836,269.204992777764,269.22659697933,269.2514338974,269.278552634396,269.307215829883,269.336853163348
31,446.556850029694,454.3756004242,405.066927533146,395.465222909308,386.654401434775,378.583191352231,371.204190093273,364.473690138697,358.349460691246,352.787494464631,347.739984894871,343.155780393495,338.982886767393,335.17148223641,331.676179171772,328.457112760456,325.480075942149,322.716084380094,320.140700143316,317.733314003409,315.476484925286,313.355373078074,311.357270704641,309.471221332344,307.687715620789,305.998436673181,304.396076520729,302.87416743948,296.289600446585,291.058845271497,286.842454516238,283.412439082986,280.607345740513,278.308096756646,276.423871265615,274.883351323342,273.629091254503,272.613778534256,271.797780903199,271.147489129424,270.634228751841,270.233518085207,269.924549185378,269.689763254954,269.51448612182,269.386582552526,269.29612083489,269.23505004115,269.196904102698,269.176522520043,269.169813086526,269.173550278071,269.185199155316,269.202774722417,269.224726877338,269.249848067725,269.27719979714,269.306054499764,269.335849775493
32,446.321014836499,454.315292629325,405.054245929693,395.446066508681,386.627428725894,378.547381941825,371.158862016269,364.418507494266,358.284460678346,352.713105151079,347.656993038138,343.065231962233,338.885950913882,335.069326221892,331.569883053985,328.34762689746,325.368210110741,322.602515228975,320.025986923523,317.617916524163,315.360780668213,313.239672211319,311.241828682884,309.356249222088,307.573388496876,305.884900175682,304.283452387741,302.762557761424,296.184115079046,290.960476527046,286.751635511231,283.32933512343,280.531956389917,278.24031097437,276.363483255156,274.830067448604,273.582535121017,272.573498650029,271.763263744683,271.118177123765,270.609541904539,270.2128764361,269.907393617255,269.67557212969,269.502786693315,269.376957058101,269.288207911554,269.228542649783,269.191545060357,269.172098904331,269.166150143355,269.17050553996,269.18265701356,269.200641652818,269.222927355051,269.24832114495,269.275896280096,269.304934646078,269.3348814312
33,446.089077360526,454.255238468613,405.042090702961,395.427700850531,386.601548347455,378.512987414842,371.115277312347,364.365388972553,358.221825021281,352.641348767803,347.576863602379,342.977733983041,338.792214169062,334.970483307096,331.466984924635,328.241600126172,325.259845287502,322.492473598759,319.914815370812,317.506064904704,315.248618421942,313.127502978864,311.129902597486,309.244772992345,307.462531350879,305.774809314641,304.174244836768,302.654333570549,296.081839092598,290.865122203801,286.663630095679,283.248836675869,280.4589659126,278.174718312699,276.305084826199,274.778573279547,273.537572707356,272.534626826671,271.729976991101,271.089929445708,270.585766700275,270.193008467034,269.89088918969,269.661925067957,269.491539156399,269.367705156641,269.280602822731,269.222288370583,269.186393932862,269.167846083067,269.162627631543,269.167576463407,269.180210356352,269.198587639793,269.221193509056,269.246848989184,269.274638621285,269.303853364296,269.333945679431
34,445.860894152767,454.195434868718,405.030424553735,395.410070906566,386.576685691131,378.479912912259,371.073321180121,364.314200946631,358.161403071264,352.572059959042,347.499419071532,342.893099267403,338.701481891333,334.87475327038,331.367280511672,328.138825353458,325.154772540128,322.385749501781,319.806975069196,317.397548803815,315.139788324839,313.018656327422,311.021284470399,309.136585957554,307.354943444858,305.667960497482,304.068252014785,302.549294853256,295.982580310984,290.772603540905,286.578268831185,283.17078789382,280.388229959059,278.111185889889,276.248554468519,274.728758536294,273.494107706921,272.49707453769,271.697842447834,271.062677718051,270.562843949113,270.173863442145,269.874992812057,269.64878577662,269.480713160947,269.358801618754,269.273284687413,269.216269982877,269.181436548961,269.163752407096,269.159235976346,269.164755173101,269.177852697647,269.19660733028,269.219520910237,269.245427924996,269.273423760682,269.302808086805,269.33304036433
35,445.636329958218,454.135878873378,405.019213805779,395.393126921313,386.552773198828,378.448072419821,371.032889389315,364.264821953719,358.103057752348,352.505088133367,347.424497661743,342.811157114242,338.613576502074,334.781953377594,331.270583333517,328.039113482542,325.05280106131,322.282151142407,319.702273812456,317.292176068557,315.034098651179,312.912941261065,310.915784281691,309.031499275293,307.250435064006,305.564167699516,303.965289485687,302.447258854134,295.886169953508,290.682757235791,286.495398858124,283.095046456637,280.319616784804,278.049592455634,276.193781343041,274.680522691824,273.452048229477,272.460761184252,271.666788971754,271.036359774528,270.540719876218,270.155395299932,269.859665390238,269.636121347077,269.47028120161,269.350223589174,269.266234600341,269.210471899797,269.176660084354,269.159807295101,269.155966470669,269.162034492516,269.17557810811,269.194695812973,269.217905544147,269.244054618782,269.272248920529,269.301796501155,269.332163546339
