geometry,N,x1,h,x2,Isp_load,Isp_med,OF_med,sigma,drift,drift_full,Gtilde,lambda,Phi0,of0,of_end,b_end,mdot_ox,Gox0,R_c,L,m_load,I_tot,run_id,rank,grid_divisions,oxidizer,Gox_lo,Gox_hi,of_lo,of_hi,thrust_mode
star,12,0.290202026367187,0.00714285714285714,0.307582102547545,303.700042923432,305.007036904007,5.7441778724293,0.0282051408345132,1.81875094255517,Inf,3.10315293880288,18.417140116449,0.205055527177721,3.77653637568441,6.86857909286992,0.683529977432959,14.237650677908,423.048830217597,0.342433557070713,2.4846999897331,5036.46395549744,15000000,2026-08-20T15:46:58,8,700,N2O,400,700,1.1,19.5,mean
star,11,0.2879296875,0.00714285714285714,0.307228105725077,303.659896945065,305.003663056105,5.74480138372153,0.0289819053646979,1.82036074789563,Inf,3.11565717711288,18.4240592873898,0.204841317669256,3.77400858124541,6.87005708352042,0.683882882776865,14.2380373044864,424.758130541276,0.342520490141251,2.4840989773372,5037.12981152598,15000000,2026-08-20T15:46:58,9,700,N2O,400,700,1.1,19.5,mean
star,10,0.287232055664062,0.00714285714285714,0.309156513263922,303.624197213212,305.012347437167,5.74723257680554,0.0299246076850441,1.81569053810433,Inf,3.08081891911472,18.429304903735,0.205322608481759,3.78395295534053,6.87048757764371,0.681956545321665,14.2385249266166,420.014377955605,0.3427731128194,2.48432881935129,5037.72207059239,15000000,2026-08-20T15:46:58,10,700,N2O,400,700,1.1,19.5,mean
cylinder,0,0.294590158452916,0,0.294590158452916,318.81393036866,320.464254673697,3.03194763876536,0.0204441049833242,1.83394124910111,Inf,3.30402287708677,9.70983778981902,0.203836818999944,1.97922244808215,3.62977768868475,0.696045125534104,11.9640039501746,420.151240090108,0.323185076561036,4.38360304508573,4797.70227636594,15000000,2026-08-20T16:42:05,1,700,N2O4,400,700,1.1,19.5,mean
star,18,0.285838623046875,0.00714285714285714,0.297391001689432,318.337638037161,320.390748257988,3.03855145603785,0.0253849487630829,1.85531851758343,Inf,3.3188107983347,9.76393026007747,0.201103294137289,1.96355853902833,3.64302651781834,0.693239446127585,11.9732027454193,422.161490013032,0.324224519879612,4.36716149118554,4804.88053155793,15000000,2026-08-20T16:42:05,2,700,N2O4,400,700,1.1,19.5,mean
star,17,0.28515625,0.00714285714285714,0.297238537372254,318.29986635454,320.395203488552,3.03882056907847,0.0258983497470557,1.85425206221305,Inf,3.32320106934265,9.7652254232192,0.20119428399033,1.96470753702876,3.64306300218109,0.693389824183083,11.9732988069751,422.721300666034,0.324279198480173,4.36695921698412,4805.45071220096,15000000,2026-08-20T16:42:05,3,700,N2O4,400,700,1.1,19.5,mean
star,16,0.281640625,0.00714285714285714,0.294301148185122,318.242579105936,320.365418168038,3.04030916353656,0.0262434107645987,1.86259811261494,Inf,3.39560939689306,9.77675325186115,0.200275727904605,1.9580463740602,3.64705348073705,0.696320591277344,11.9758638138908,431.968870785572,0.324184828444843,4.3614089392072,4806.31574745293,15000000,2026-08-20T16:42:05,4,700,N2O4,400,700,1.1,19.5,mean
star,15,0.28318359375,0.00714285714285714,0.296652940833249,318.209658984605,320.395950824224,3.03993234816402,0.027006992351034,1.8538316863441,Inf,3.33990933825112,9.77014026246023,0.201204729119312,1.96579842496599,3.64425940916728,0.693970602320894,11.9743551856515,424.86163630482,0.324385212574166,4.3655721281872,4806.8129809375,15000000,2026-08-20T16:42:05,5,700,N2O4,400,700,1.1,19.5,mean
star,14,0.28357421875,0.00714285714285714,0.298009715304072,318.175630170927,320.414776619153,3.03985701072605,0.0276441968529438,1.84862976883162,Inf,3.30964548718784,9.76762970362491,0.201745107052412,1.97057150020613,3.64285713689224,0.692611467431049,11.9735781862733,421.000918627209,0.324532854254747,4.36761697169182,4807.32706852876,15000000,2026-08-20T16:42:05,6,700,N2O4,400,700,1.1,19.5,mean
star,13,0.282509765625,0.00714285714285714,0.298107527275129,318.121496023888,320.416428831664,3.04051981799265,0.0283227311782507,1.8479222261834,Inf,3.31016771642863,9.76995981000056,0.201804034635639,1.97161730788615,3.64339544477069,0.692514247765402,11.9741625731586,421.075568584832,0.32462257142302,4.36723212215886,4808.1451224913,15000000,2026-08-20T16:42:05,7,700,N2O4,400,700,1.1,19.5,mean
star,12,0.280236206054687,0.00714285714285714,0.297264726159767,318.072954740052,320.403845465483,3.04123844910484,0.0287626762101684,1.85061971893677,Inf,3.33450375978841,9.77590512220723,0.201487572209752,1.96972338922642,3.64520894495338,0.693353423510463,11.975333174319,424.187863176983,0.324648964961129,4.36486024658223,4808.87889609146,15000000,2026-08-20T16:42:05,8,700,N2O4,400,700,1.1,19.5,mean
star,11,0.279932250976562,0.00714285714285714,0.298893040494416,318.02097448723,320.416389374532,3.04626513243471,0.0295757506380485,1.84587683044647,Inf,3.30109595414761,9.79031232053255,0.201970791729019,1.97735713065233,3.64995771298926,0.691730336434801,11.9797559143111,420.000029584532,0.324878516248383,4.36038012003525,4809.66490318176,15000000,2026-08-20T16:42:05,9,700,N2O4,400,700,1.1,19.5,mean
